id,__v,_id,name,type,onMap,overX,overZ,owner,isBank,radius,isCourt,netherX,netherZ,dateFrom,isOffice,createdAt,updatedAt,colorNether,description,isProhibition
748,0,650ef5a7cf063d67c09334c3,террра мара,База,false,-5214,4547,mar3123,false,10,false,-651,568,23.06.2023,false,2023-09-23T14:26:47.341Z,2023-09-23T14:26:47.341Z,blue,маленькая база под землёй [лелуш не сноси],false
747,0,650ef5a7cf063d67c09334bf,терра левши,База,false,2500,-11800,SharpestFrey,false,500,false,312,-1475,23.06.2023,false,2023-09-23T14:26:47.259Z,2023-09-23T14:26:47.259Z,red,терра,false
746,0,650ef5a7cf063d67c09334bb,АмогусТаун,База,false,-17100,6100,GOROD_YRODOV,false,2000,false,-2100,760,23.06.2023,false,2023-09-23T14:26:47.175Z,2024-04-06T14:17:14.782Z,blue,Хайп епт,false
745,0,650ef5a7cf063d67c09334b7,База Mal0nee,База,false,5080,24100,Mal0nee,false,400,false,640,3000,23.06.2023,false,2023-09-23T14:26:47.092Z,2023-09-23T14:26:47.092Z,yellow, База Mal0nee для создания артов и если чо чтоб свалить с мультикора было куда,false
744,0,650ef5a7cf063d67c09334b3, Логово Аферистов,База,false,-12959,-6381,cuteshamilik,false,500,false,-1632,-800,23.06.2023,false,2023-09-23T14:26:47.009Z,2023-09-23T14:26:47.009Z,blue,Последний Кто Отпустит Руку С Лодки Получит 1000 АРов!,false
743,0,650ef5a6cf063d67c09334af,База,База,false,1888,-14751,Viktorovich_,false,900,false,255,-1827,22.06.2023,false,2023-09-23T14:26:46.649Z,2023-09-23T14:26:46.649Z,red,-,false
742,0,650ef5a6cf063d67c09334ab,"база камераменов, сражающихся против скибидитуалетов ",База,false,-7316,-18292,mp24class,false,1500,false,-925,-2298,22.06.2023,false,2023-09-23T14:26:46.569Z,2023-09-23T14:26:46.569Z,red,скибиди туалети лохи + сосуни!!! 🔥,false
741,0,650ef5a6cf063d67c09334a7,天將因罪人的血而下雨，沒有人能得救 Xiaomi shop sale 30% Pro ultra boost v2x devirili club penguin  classics VIP all to  1000hp dog foot,База,false,-4317,-17690,LiebILY,false,2000,false,-580,-2218,22.06.2023,false,2023-09-23T14:26:46.486Z,2023-09-23T14:26:46.486Z,red,https://youtu.be/dQw4w9WgXcQ,false
740,0,650ef5a6cf063d67c09334a3,Территория MaxPlayYT_7406,База,false,3191,7721,MaxPlayYT_7406,false,15,false,370,888,20.06.2023,false,2023-09-23T14:26:46.404Z,2023-09-23T14:26:46.404Z,yellow,"Закрытая частная территория. Её не нужно заносить на карту СП. Территория находится в городе Шаттл ""Аура"".",false
739,0,650ef5a6cf063d67c093349f,Пандемон,База,false,-2488,14886,Batrich,false,500,false,-298,1860,21.06.2023,false,2023-09-23T14:26:46.323Z,2023-09-23T14:26:46.323Z,yellow,Столица Панд-ратонской империи,false
738,0,650ef5a6cf063d67c093349b,Аррия,База,false,8092,-2100,SharpestFrey,false,400,false,1014,-262,21.06.2023,false,2023-09-23T14:26:46.240Z,2023-09-23T14:26:46.240Z,green,"небольшая уютная деревушка, расположенная меж гор",false
737,0,650ef5a6cf063d67c0933497,Mayskiy's Base,База,false,-3650,6632,YourMayskiy,false,128,false,-463,816,18.06.2023,false,2023-09-23T14:26:46.156Z,2023-10-18T12:20:29.959Z,yellow,самая лютая в мире база,true
736,0,650ef5a6cf063d67c0933493,mge /add 2,База,false,-16333,-8078,FrontFEED,false,700,false,-2040,-1010,18.06.2023,false,2023-09-23T14:26:46.072Z,2023-09-23T14:26:46.072Z,blue,-,false
735,0,650ef5a5cf063d67c093348f,qqBase,База,false,-15685,4310,Kurumaqq,false,1000,false,-1960,538,17.06.2023,false,2023-09-23T14:26:45.989Z,2023-09-23T14:26:45.989Z,blue,Kuruma base,false
734,0,650ef5a5cf063d67c093348b,"база влади
мира скрлпики",База,false,24985,-2906,VladimirSkripka,false,500,false,3112,-362,15.06.2023,false,2023-09-23T14:26:45.641Z,2023-09-23T14:26:45.641Z,green,ну типо база ну да ок круто ну нормальна,false
733,0,650ef5a5cf063d67c0933487,*** СИТИ,База,false,-14400,12500,mayonezik,false,2000,false,-1795,1563,13.06.2023,false,2023-09-23T14:26:45.557Z,2023-09-24T17:06:04.738Z,blue,ГОРОД РУИН,false
732,0,650ef5a5cf063d67c0933483,Кристаликс Сити,База,false,-3957,3112,Truban,false,500,false,-493,392,11.06.2023,false,2023-09-23T14:26:45.473Z,2023-09-23T14:26:45.473Z,blue,Город балбесов,false
731,0,650ef5a5cf063d67c093347f,баza торгового синдиката,База,false,-14556,-5627,M0nkling,false,2000,false,-1819,-703,10.06.2023,false,2023-09-23T14:26:45.389Z,2023-09-23T14:26:45.389Z,blue,тера с деревней и нашими фермами,false
730,0,650ef5a5cf063d67c093347b,Територрия krllgml,База,false,21248,1153,krllgml,false,100,false,2654,158,05.06.2023,false,2023-09-23T14:26:45.308Z,2023-09-23T14:26:45.308Z,green,Холст для,false
729,0,650ef5a5cf063d67c0933477,HellaTeam,База,false,-4256,21342,HellaTeam,false,256,false,-542,2667,03.06.2023,false,2023-09-23T14:26:45.224Z,2023-09-23T14:26:45.224Z,yellow,Территория для построек артов,false
728,0,650ef5a5cf063d67c0933473,База сиськи,База,false,12000,731,SharpestFrey,false,500,false,1500,89,03.06.2023,false,2023-09-23T14:26:45.142Z,2023-09-23T14:26:45.142Z,green,"просто моя
база",false
