,,,,,,,,,,
,,,,,,,,,,
№,РЕЕСТ ЗАРЕГИСТРИРОВАННЫХ БАЗ СП5 (ВЕДЁТСЯ МИНИСТЕРСТВОМ ЮСТИЦИИ),,,,,,,,,
,ОБЩАЯ ХАРАКТЕРИСТИКА,,,КООРДИНАТЫ,,,,,РЕГИСТРАЦИЯ ТЕРРИТОРИИ,
,,,,Верхний мир,,,Нижний мир,,,
,Название,Описание,Владелец,X,Z,Радиус,X,Z,Дата,Ссылка на пост
35,Ген. Штаб MANN CO.,Личная территория Joseph_Snake и _DICTOR,Joseph_Snake,8714,-1328,500,1089,-166,20.06.2022,https://vk.com/gepe5?w=wall-131054616_86483%2Fall
36,KAFAR1K,Просто частная территория,KAFAR1K,923,9075,700,102,1141,06.06.2022,https://vk.com/wall-131054616_86459
37,Яма лосося,"ЯМА забиверов, хуесосов и хейтеров вонючих ""влагалищ""",Lososik798,7953,-7534,500,994,-941,20.06.2022,https://vk.com/wall-131054616_86507
38,Нахалал Парадисо,не халяль,WetBlanket98,7187,-13248,1000,898,-1658,21.06.2022,https://vk.com/wall-131054616_86510
,,,,,,,,,,
40,Марина,Остров ферм Спудова Марина прости.,spoodov,3000,1163,250,360,145,21.06.2022,
41,#СП Арена,Общественная арена для проведения мероприятий,KindSoft,1560,5329,325,200,625,,
42,Baku,Территория игрока najaf_ Союз с парадисом,najaf_,-13221,-6804,600,-1650,-850,,
43,Территория offenbanch,Без описания.,offenbanch,-6644,-7820,1300,-3,-987,04.06.2022,https://vk.com/bookmarks?from_menu=1&w=wall-131054616_84612
44,Территория DmitryDAN,Без описания.,DmitryDAN,4100,2350,1500,515,290,22.06.2022,
45,Big Black Яма,Без описания.,l1m0n__,43,-13499,2000,4,-1700,24.06.2022,
46,Дивноморское,Достопремечательности: Дворец Геленджикский и статуи игроков СП,WizzPlay,-1263,5373,1000,-244,671,24.06.2022,
47,LOLOLAND,Без описания.,troloLOLLER,6500,-11400,2000,810,-1430,04.06.2022,https://vk.com/wall-131054616_86614
48,harson,"глобал. проект ""Континент""",sirALEKSEY673,8880,10350,1400,1110,1294,23.06.2022,https://vk.com/wall-131054616_86619
49,Полусфера,"Сферообразный стеклянный шар, накрывающий уголок мира",Spewedandbraked,12966,4316,500,1676,533,24.06.2022,https://vk.com/wall-131054616_86626
50,Кенты Лупсида, Кента страдают херней,Lupside,-10128,-8256,1000,-1267,-1022,04.06.2022,https://vk.com/wall-131054616_84627
51,twitch.tv/daxak,терра дахака йопта,daxak,228,12808,2000,35,1607,04.06.2022,https://vk.com/wall-131054616_84466
52,Амперная крепость,Без описания.,Mr_Elec2r0n_,4288,-3698,300,2344,459,26.06.2022,
53,«СП Волна»,База компании «СП Волна» ,tebe_s_kakoi,10300,5300,500,1311,657,26.06.2022,
54,DockIsParadise,"Ламповое место для посиделок с друзьями, океан в котором спокойно можно рыбачить сколько хочется. похоже на райские острова:Бескрайние моря, острова, и  всё в доступном доступе!",_DockLock_,-55,2840,150,-7,353,26.06.2022,
55,Максиляндия,грубо говоря ранчо релаксо для избранных и база для мэра,MSvetofor,12600,-10900,500,1560,-1350,,
56,Совершенно новая пендосия,здесь вы найдете....,SirSergius3236,12800,12800,1000,1600,1600,06.06.2022,https://vk.com/topic-131054616_48663772?post=3618
57,Дохлокот,Без описания., xfogax,4252,10855,300,535,1359,22.06.2022,
58,Зона ферм DeleteG7,Личная территория с фермами игрока DeleteG7,DeleteG7,-4600,-2000,175,-570,-260,03.07.2022,https://vk.com/wall-131054616_86867
59,Латок,Радуга дуга. Здесь происходит фарминг,Latke,-11261,1664,500,-1410,205,,
60,Терретория Ωmega co.,Терретория компании Ωmega co. по вопросам пирог#0724,TblKBA18,9600,-2007,400,1200,-250,,
61,Tunixp,Без описания.,Tunixp,1200,-11300,1500,140,-1380,,
62,Void,База игрока Dimka153 сделанная в чёрно-белом стиле,Dimka153,10500,-800,500,-1312,-100,,
63,Добряки,Яма в которой люди общаются и развлекаются,neyann,5760,2270,2000,710,280,,
64,Бекасово,База отдыха,Broccolya,12280,-280,450,1535,-35,07.07.2022,https://vk.com/gepe5?w=wall-131054616_86764%2Fall
66,фонд,Территория секретной организации,Armageddon_372,-4400,8800,500,-550,1100,11.07.2022,https://vk.com/wall-131054616_86802
67,База Sitrus029,Локальная база Sitrus029,Sitrus029,-4700,150,200,-587,17,,
68,Инферния,База игрока JORICK404,JORICK404,10032,-172,1000,1245,-215,,
69,Станция zero,Иследовательская база во льдах ,krisech,200,11372,600,20,1420,20.07.2023,-
70,Территория компании COLORS ,"Территория под фермы, выкапывание ресурсов, строительства мап-артов и просто так сказать ""Дача"", где можно отдохнуть",SupperDans_500,5470,11955,500,682,1486,20.07.2022,https://vk.com/gepe5?w=wall-131054616_86907%2Fall
71,Bedcom,Без описания.,H1S3R,600,-7000,2000,76,-880,03.06.2022,https://vk.com/gepe5?w=wall-131054616_83847%2Fall
72,Арт-база,На территории находится полотно где активно строятся мапарты.  ,baby_cady,13315,381,700,1660,58,,
73,Ривендейл,Без описания.,SaikieSwag,-7232,-9343,1000,-905,-1168,,
74,Мир средневековья,Без описания.,5opkaa,13215,-480,320,1636,-42,01.08.2022,
75,Территория Frikase,Личная территория игрока Frikase,Frikase,-7820,5284,1000,-958,671,02.08.2022,
76,Астрал,"Место, где могут отдыхать все мои друзья, и Я в том числе.",Avenitson,8923,-2408,750,1112,-6,07.08.2022,
77,Лаборатория Скрисона,Без описания.,DrScrison,0,-10000,2000,-12,-1250,03.06.2022,https://vk.com/wall-131054616_84050
78,Территория sandstormy,Уютная и ламповая пещерка с фермой арбузов,sandstormy,8000,8800,250,1000,1092,08.08.2022,
79,Драгомир,База дебилов,Artemidaa,-6800,-13280,400,-850,-1660,11.08.2022,https://vk.com/topic-131054616_48663772?post=4153
80,Крайкон,"Уютное место в горах, находящееся в жопе мира, которое хрен найдёшь.",KpyToi4el,7328,13269,400,910,1653,10.08.2022,
81,FullWorld,"""Рабство спасет мир"" Chpoker",Zekrol,11139,12516,1000,1402,1569,11.08.2022,
82,Ассоциация Охотников,"На острове находится штаб Ассоциации Охотников, организации, которая предоставляет услуги по найму рабочих и поиску ресурсов.",MrAshees,732,-11541,150,91,-1445,14.08.2022,https://vk.com/topic-131054616_48663772?post=4155
83,Лаборатория _Zulf'a,Секретная рп лаборатория со всякими исследованиями и секретами, _Zulf,9641,-2695,200,1206,-333,14.08.2022,
84,"""Бухта Галеона""",Личная территория игроков Mistelias и lilfoxik,Mistelias,4791,5877,75,600,736,19.08.2022,
85,База ANTON_B,Личная территория игрока ANTON_B,ANTON_B,-7600,3320,500,-965,415,21.08.2022,1568218386
86,Андеграунд,Комфортный подвал для ровных типчиков,Old_Kega54,-2118,6596,1500,-275,818,24.08.2022,
87,База kirill_buch,"Особо не запретка, просто ничего не воруйте",kirill_buch,-448,-2300,200,-50,-300,25.08.2022,https://vk.com/wall-131054616_87527 
88,База Антихайпа,Реальная база Антихайпа.,Albetre,-11000,8500,1000,1375,,07.09.2022,https://vk.com/wall-131054616_87629
89,"Бункер ""Новая Надежда""",Описание,blfrum,1950,1650,500,250,200,03.06.2022,https://vk.com/topic-131054616_38491668?post=2709
90,Area 51,База AlexPerch,AlexPerch,-5900,-170,200,-745,-20,08.09.2022,
91,сисястая база,нету,YourKoleostro,-9500,1900,600,-1187,237,09.09.2022,
92,Няшки<3,это мы с зарой),DaL1o,-10800,-13500,1500,-1350,-1680,11.09.2022,
93,Korinf,,FiNiKK523,-10000,-12171,1000,-1186,-1453,02.09.2022,https://vk.com/wall-131054616_87563
94,Штаб Рыбаков,Штаб-база Культа рыбаков,tatarchik,1348,-366,1000,170,-50,12.09.2022,https://vk.com/wall-131054616_87674
95,Yakuza,"Ресторан ""Oishikute"", находящийся в маленьком японском районе.",Cmd8859,8366,623,80,1046,88,18.09.2022,
96,Neuro Art Gallary,Арт галлерея,MrMinevra,9870,4400,200,1234,550,23.09.2022,
97,De1wsz,,De1wsz_,-12348,3047,500,-1539,394,28.09.2022,
98,Lian City,"тут живут странники, отреченные миром, в тишине и спокойствии рядом с природой",Mikezzag . Ke1ha,13227,6385,1000,1653,798,03.10.2022,
99,Гандхарва,Волшебный лес похотливых эльфов,dohvaa,8940,1790,400,1130,215,07.07.2022,
100,База Кири,База игрока Кири,_K1rya,8000,16000,2000,1000,2000,06.10.2022,
101,Сатерра,личная территория игрока Genvey если хотите купить керамику или Терракота пишите в ЛС дискорда,Genvey ,15000,-11000,2000,1865,-1370,06.10.2022,
102,IO,Просто болото. Ничего необычного. Уходите.,EndDeni1,-3675,-16414,500,-439,-2074,06.10.2022,
103,Территория Dakidakq,Жёстки терра,Dakidakq,15300,8455,2000,1928,1038,06.10.2022,https://vk.com/topic-131054616_48663772?offset=320&z=photo-131054616_457251993%2Fpost-131054616_4193
104,Это база,База bsfimas запреточка складик там ресики фермочки грибной остров блекджек и шлюхи,5opka,14973,3934,1000,1871,491,06.10.2022,
105,Фроградский Кайф,"Зона для фарма , кайфа и отдыха",Dango_qq,-400,-17233,1500,-45,-2159,06.10.2022,
106,Группа 2002,Личная территория игрока Q4terr,love69pose,2000,-16000,2000,250,-2002,06.10.2022,https://vk.com/wall-131054616_87833
107,Грифонс,-,Antoxaxa,18388,3847,2000,2300,470,07.10.2022,
